province,num_acc,num_injuries
Samut Prakan,2,1
Phatthalung,1,0
Chonburi,1,0
Surat Thani,1,0
Sakon Nakhon,1,0
Chonburi,0,0
Nonthaburi,2,2
Chainat,1,0
Sukhothai,1,2
Songkhla,1,2
Lopburi,2,1
Ang Thong,2,0
Sa Kaeo,1,0
Samut Sakhon,1,0
Phang Nga,1,1
Prachuap Khiri Khan,2,0
Sukhothai,2,1
Chiang Mai,2,0
Saraburi,1,0
Bangkok,2,0
Yasothon,2,1
Pattani,1,1
Satun,1,0
Kamphaeng Phet,2,2
Nakhon Sawan,2,2
Surat Thani,2,2
Nakhon Ratchasima,1,1
Phayao,1,1
Sukhothai,2,1
Saraburi,1,2
Kanchanaburi,2,1
Tak,2,0
Loei,1,1
Sukhothai,2,1
Pathum Thani,1,1
Lopburi,1,1
Chumphon,1,0
Phetchabun,1,0
Chiang Mai,1,0
Surat Thani,2,0
Lampang,1,0
Nong Khai,1,1
Bueng Kan,2,1
Narathiwat,1,0
Chainat,2,1
Sukhothai,2,1
Chainat,2,0
Chachoengsao,2,1
Krabi,1,0
Udon Thani,2,0
Chanthaburi,2,2
Phrae,1,0
Bueng Kan,2,0
Surat Thani,2,1
Lopburi,2,0
Nakhon Ratchasima,2,0
Lampang,1,1
Chiang Mai,0,0
Samut Prakan,2,1
Udon Thani,1,0
Tak,1,0
Chiang Rai,1,0
Phatthalung,1,0
